id,result,table,_time,temperature
261,_result,0,2024-01-02 19:30:00+00:00,7.15
262,_result,0,2024-01-02 19:40:00+00:00,7.14
263,_result,0,2024-01-02 19:50:00+00:00,7.17
264,_result,0,2024-01-02 20:00:00+00:00,7.18
265,_result,0,2024-01-02 20:10:00+00:00,7.2
266,_result,0,2024-01-02 20:20:00+00:00,7.19
267,_result,0,2024-01-02 20:30:00+00:00,7.18
268,_result,0,2024-01-02 20:40:00+00:00,7.17
269,_result,0,2024-01-02 20:50:00+00:00,7.14
270,_result,0,2024-01-02 21:00:00+00:00,7.13
271,_result,0,2024-01-02 21:10:00+00:00,7.15
272,_result,0,2024-01-02 21:20:00+00:00,7.12
273,_result,0,2024-01-02 21:30:00+00:00,7.13
274,_result,0,2024-01-02 21:40:00+00:00,7.12
275,_result,0,2024-01-02 21:50:00+00:00,7.13
276,_result,0,2024-01-02 22:00:00+00:00,7.16
277,_result,0,2024-01-02 22:10:00+00:00,7.16
278,_result,0,2024-01-02 22:20:00+00:00,7.16
279,_result,0,2024-01-02 22:30:00+00:00,7.16
280,_result,0,2024-01-02 22:40:00+00:00,7.17
281,_result,0,2024-01-02 22:50:00+00:00,7.15
282,_result,0,2024-01-02 23:00:00+00:00,7.15
283,_result,0,2024-01-02 23:10:00+00:00,7.18
284,_result,0,2024-01-02 23:20:00+00:00,7.18
285,_result,0,2024-01-02 23:30:00+00:00,7.18
286,_result,0,2024-01-02 23:40:00+00:00,7.15
287,_result,0,2024-01-02 23:50:00+00:00,7.17
288,_result,0,2024-01-03 00:00:00+00:00,7.19
289,_result,0,2024-01-03 00:10:00+00:00,7.19
290,_result,0,2024-01-03 00:20:00+00:00,7.19
291,_result,0,2024-01-03 00:30:00+00:00,7.16
292,_result,0,2024-01-03 00:40:00+00:00,7.06
293,_result,0,2024-01-03 00:50:00+00:00,7.04
294,_result,0,2024-01-03 01:00:00+00:00,7.05
295,_result,0,2024-01-03 01:10:00+00:00,7.08
296,_result,0,2024-01-03 01:20:00+00:00,7.09
297,_result,0,2024-01-03 01:30:00+00:00,7.1
298,_result,0,2024-01-03 01:40:00+00:00,7.12
299,_result,0,2024-01-03 01:50:00+00:00,7.13
300,_result,0,2024-01-03 02:00:00+00:00,7.15
301,_result,0,2024-01-03 02:10:00+00:00,7.14
302,_result,0,2024-01-03 02:20:00+00:00,7.13
303,_result,0,2024-01-03 02:30:00+00:00,7.12
304,_result,0,2024-01-03 02:40:00+00:00,7.1
305,_result,0,2024-01-03 02:50:00+00:00,7.09
306,_result,0,2024-01-03 03:00:00+00:00,7.03
307,_result,0,2024-01-03 03:10:00+00:00,7.01
308,_result,0,2024-01-03 03:20:00+00:00,6.99
309,_result,0,2024-01-03 03:30:00+00:00,6.93
310,_result,0,2024-01-03 03:40:00+00:00,6.87
311,_result,0,2024-01-03 03:50:00+00:00,6.84
312,_result,0,2024-01-03 04:00:00+00:00,6.83
313,_result,0,2024-01-03 04:10:00+00:00,6.83
314,_result,0,2024-01-03 04:20:00+00:00,6.83
315,_result,0,2024-01-03 04:30:00+00:00,6.84
316,_result,0,2024-01-03 04:40:00+00:00,6.82
317,_result,0,2024-01-03 04:50:00+00:00,6.84
318,_result,0,2024-01-03 05:00:00+00:00,6.85
319,_result,0,2024-01-03 05:10:00+00:00,6.84
320,_result,0,2024-01-03 05:20:00+00:00,6.86
321,_result,0,2024-01-03 05:30:00+00:00,6.86
322,_result,0,2024-01-03 05:40:00+00:00,6.91
323,_result,0,2024-01-03 05:50:00+00:00,6.92
324,_result,0,2024-01-03 06:00:00+00:00,6.92
325,_result,0,2024-01-03 06:10:00+00:00,6.91
326,_result,0,2024-01-03 06:20:00+00:00,6.87
327,_result,0,2024-01-03 06:30:00+00:00,6.86
328,_result,0,2024-01-03 06:40:00+00:00,6.88
329,_result,0,2024-01-03 06:50:00+00:00,6.87
330,_result,0,2024-01-03 07:00:00+00:00,6.89
331,_result,0,2024-01-03 07:10:00+00:00,6.89
332,_result,0,2024-01-03 07:20:00+00:00,6.89
333,_result,0,2024-01-03 07:30:00+00:00,6.9
334,_result,0,2024-01-03 07:40:00+00:00,6.9
335,_result,0,2024-01-03 07:50:00+00:00,6.9
336,_result,0,2024-01-03 08:00:00+00:00,6.9
337,_result,0,2024-01-03 08:10:00+00:00,6.91
338,_result,0,2024-01-03 08:20:00+00:00,6.92
339,_result,0,2024-01-03 08:30:00+00:00,6.91
340,_result,0,2024-01-03 08:40:00+00:00,6.92
341,_result,0,2024-01-03 08:50:00+00:00,6.91
342,_result,0,2024-01-03 09:00:00+00:00,6.92
343,_result,0,2024-01-03 09:10:00+00:00,6.93
344,_result,0,2024-01-03 09:20:00+00:00,6.95
345,_result,0,2024-01-03 09:30:00+00:00,6.94
346,_result,0,2024-01-03 09:40:00+00:00,6.94
347,_result,0,2024-01-03 09:50:00+00:00,6.94
348,_result,0,2024-01-03 10:00:00+00:00,6.92
349,_result,0,2024-01-03 10:10:00+00:00,6.93
350,_result,0,2024-01-03 10:20:00+00:00,6.96
351,_result,0,2024-01-03 10:30:00+00:00,6.95
352,_result,0,2024-01-03 10:40:00+00:00,6.94
353,_result,0,2024-01-03 10:50:00+00:00,6.94
354,_result,0,2024-01-03 11:00:00+00:00,6.94
355,_result,0,2024-01-03 11:10:00+00:00,6.97
356,_result,0,2024-01-03 11:20:00+00:00,7.01
357,_result,0,2024-01-03 11:30:00+00:00,7.07
358,_result,0,2024-01-03 11:40:00+00:00,7.08
359,_result,0,2024-01-03 11:50:00+00:00,7.08
360,_result,0,2024-01-03 12:00:00+00:00,7.08
361,_result,0,2024-01-03 12:10:00+00:00,7.08
362,_result,0,2024-01-03 12:20:00+00:00,7.09
363,_result,0,2024-01-03 12:30:00+00:00,7.09
364,_result,0,2024-01-03 12:40:00+00:00,7.1
365,_result,0,2024-01-03 12:50:00+00:00,7.07
366,_result,0,2024-01-03 13:00:00+00:00,7.06
367,_result,0,2024-01-03 13:10:00+00:00,7.05
368,_result,0,2024-01-03 13:20:00+00:00,7.05
369,_result,0,2024-01-03 13:30:00+00:00,7.03
370,_result,0,2024-01-03 13:40:00+00:00,6.99
371,_result,0,2024-01-03 13:50:00+00:00,7.0
372,_result,0,2024-01-03 14:00:00+00:00,7.01
373,_result,0,2024-01-03 14:10:00+00:00,7.01
